date,time,code,open,high,low,close,volume,amount
2018/2/2,2018-02-02 14:45,sz.000001,12.76113459,12.79756895,12.72470023,12.76113459,5844296,81915808
2018/2/2,2018-02-02 15:00,sz.000001,12.76113459,12.80667754,12.74291741,12.79756895,10726539,150537024
2018/2/5,2018-02-05 09:45,sz.000001,12.5698542,12.87043767,12.50609407,12.86132908,20924487,291693968
2018/2/5,2018-02-05 10:00,sz.000001,12.86132908,12.97974075,12.81578613,12.94330639,22874131,323956704
2018/2/5,2018-02-05 10:15,sz.000001,12.94330639,13.03439229,12.85222049,12.85222049,25877196,368203472
2018/2/5,2018-02-05 10:30,sz.000001,12.85222049,12.89776344,12.78846036,12.87043767,11307605,159319680
2018/2/5,2018-02-05 10:45,sz.000001,12.87043767,12.88865485,12.752026,12.86132908,10137827,142881456
2018/2/5,2018-02-05 11:00,sz.000001,12.87043767,12.9341978,12.8431119,12.85222049,10257227,145372096
2018/2/5,2018-02-05 11:15,sz.000001,12.85222049,12.90687203,12.8431119,12.87043767,3115948,44059504
2018/2/5,2018-02-05 11:30,sz.000001,12.88865485,12.95241498,12.87043767,12.90687203,6296064,89239712
2018/2/5,2018-02-05 13:15,sz.000001,12.90687203,13.00706652,12.88865485,12.99795793,7833416,111338864
2018/2/5,2018-02-05 13:30,sz.000001,13.00706652,13.01617511,12.97063216,12.97063216,12652486,180527360
2018/2/5,2018-02-05 13:45,sz.000001,12.97063216,13.07082665,12.96152357,13.03439229,15206018,217515152
2018/2/5,2018-02-05 14:00,sz.000001,13.04350088,13.12547819,13.03439229,13.12547819,16467325,236487712
2018/2/5,2018-02-05 14:15,sz.000001,13.1163696,13.18012973,13.07082665,13.09815242,17347751,250218592
2018/2/5,2018-02-05 14:30,sz.000001,13.09815242,13.17102114,13.06171806,13.15280396,10707224,154137680
2018/2/5,2018-02-05 14:45,sz.000001,13.15280396,13.19834691,13.1163696,13.14369537,19244846,278350992
2018/2/5,2018-02-05 15:00,sz.000001,13.14369537,13.27121563,13.13458678,13.25299845,22950239,333052368
2018/2/6,2018-02-06 09:45,sz.000001,12.96152357,13.05260947,12.88865485,12.96152357,45501830,647344112
2018/2/6,2018-02-06 10:00,sz.000001,12.95241498,12.95241498,12.68826587,12.76113459,36627898,514782832
2018/2/6,2018-02-06 10:15,sz.000001,12.77024318,12.83400331,12.72470023,12.77024318,15681952,219802848
2018/2/6,2018-02-06 10:30,sz.000001,12.76113459,12.88865485,12.76113459,12.79756895,12173377,171372752
2018/2/6,2018-02-06 10:45,sz.000001,12.80667754,12.82489472,12.68826587,12.752026,17691227,247490304
2018/2/6,2018-02-06 11:00,sz.000001,12.752026,12.9341978,12.74291741,12.8431119,12781145,180235104
2018/2/6,2018-02-06 11:15,sz.000001,12.8431119,13.00706652,12.80667754,12.90687203,10911061,154830784
2018/2/6,2018-02-06 11:30,sz.000001,12.91598062,12.98884934,12.86132908,12.9341978,10035825,142353424
2018/2/6,2018-02-06 13:15,sz.000001,12.9341978,12.9341978,12.70648305,12.752026,16540520,231718208
2018/2/6,2018-02-06 13:30,sz.000001,12.74291741,12.8431119,12.70648305,12.73380882,11507444,161142784
2018/2/6,2018-02-06 13:45,sz.000001,12.74291741,12.87043767,12.74291741,12.85222049,7514924,105562720
2018/2/6,2018-02-06 14:00,sz.000001,12.8431119,12.88865485,12.81578613,12.86132908,4761340,67147984
2018/2/6,2018-02-06 14:15,sz.000001,12.87043767,12.88865485,12.752026,12.752026,9479196,133431648
2018/2/6,2018-02-06 14:30,sz.000001,12.752026,12.86132908,12.73380882,12.83400331,8378241,117661376
2018/2/6,2018-02-06 14:45,sz.000001,12.81578613,12.94330639,12.76113459,12.87954626,16136685,228129856
2018/2/6,2018-02-06 15:00,sz.000001,12.87043767,12.9341978,12.752026,12.752026,22564539,318287968
2018/2/7,2018-02-07 09:45,sz.000001,12.95241498,13.00706652,12.77024318,12.87954626,22646031,320548256
2018/2/7,2018-02-07 10:00,sz.000001,12.88865485,12.89776344,12.78846036,12.85222049,11427624,161127584
2018/2/7,2018-02-07 10:15,sz.000001,12.86132908,13.0252837,12.81578613,12.98884934,21910963,311546464
2018/2/7,2018-02-07 10:30,sz.000001,12.98884934,13.01617511,12.86132908,12.87954626,13131030,186993536
2018/2/7,2018-02-07 10:45,sz.000001,12.87954626,12.91598062,12.83400331,12.86132908,9992064,141180704
2018/2/7,2018-02-07 11:00,sz.000001,12.8431119,12.85222049,12.45144253,12.55163702,30116882,419279232
2018/2/7,2018-02-07 11:15,sz.000001,12.54252843,12.55163702,11.95047008,12.44233394,28229554,383558560
2018/2/7,2018-02-07 11:30,sz.000001,12.44233394,12.46055112,11.99601303,12.16907624,30133471,401902896
2018/2/7,2018-02-07 13:15,sz.000001,12.16907624,12.37857381,12.1144247,12.34213945,17304279,232252384
2018/2/7,2018-02-07 13:30,sz.000001,12.33303086,12.35124804,12.18729342,12.18729342,9670152,130178832
2018/2/7,2018-02-07 13:45,sz.000001,12.18729342,12.21461919,12.14175047,12.19640201,10418548,139290944
2018/2/7,2018-02-07 14:00,sz.000001,12.18729342,12.23283637,12.00512162,12.08709893,17464991,232017072
2018/2/7,2018-02-07 14:15,sz.000001,12.09620752,12.10531611,11.97779585,11.99601303,18109683,239215152
2018/2/7,2018-02-07 14:30,sz.000001,11.99601303,12.00512162,11.85027559,11.89581854,29917736,391461808
2018/2/7,2018-02-07 14:45,sz.000001,11.88670995,11.96868726,11.62256084,11.81384123,35121664,455940480
2018/2/7,2018-02-07 15:00,sz.000001,11.81384123,11.841167,11.7500811,11.76829828,28977024,375092784
2018/2/8,2018-02-08 09:45,sz.000001,11.68632097,11.70453815,11.43128045,11.57701789,44465023,563982224
2018/2/8,2018-02-08 10:00,sz.000001,11.59523507,11.75918969,11.54969212,11.69542956,19443356,248882336
2018/2/8,2018-02-08 10:15,sz.000001,11.69542956,11.76829828,11.6589952,11.67721238,12414995,159623296
2018/2/8,2018-02-08 10:30,sz.000001,11.67721238,11.68632097,11.61345225,11.64988661,9395793,120147680
2018/2/8,2018-02-08 10:45,sz.000001,11.64988661,11.66810379,11.54058353,11.64988661,10849664,138153552
2018/2/8,2018-02-08 11:00,sz.000001,11.64988661,11.69542956,11.61345225,11.62256084,6549369,83774240
2018/2/8,2018-02-08 11:15,sz.000001,11.61345225,11.63166943,11.55880071,11.5679093,8047680,102459232
2018/2/8,2018-02-08 11:30,sz.000001,11.5679093,11.5679093,11.46771481,11.48593199,14727568,185972528
2018/2/8,2018-02-08 13:15,sz.000001,11.48593199,11.54058353,11.41306327,11.51325776,17681878,222310992
2018/2/8,2018-02-08 13:30,sz.000001,11.52236635,11.55880071,11.45860622,11.4768234,7346013,92838928
2018/2/8,2018-02-08 13:45,sz.000001,11.4768234,11.58612648,11.44038904,11.55880071,8986682,113616048
2018/2/8,2018-02-08 14:00,sz.000001,11.55880071,11.57701789,11.52236635,11.54058353,7210840,91487120
2018/2/8,2018-02-08 14:15,sz.000001,11.54058353,11.54058353,11.42217186,11.50414917,11351079,143011008
2018/2/8,2018-02-08 14:30,sz.000001,11.50414917,11.54969212,11.44949763,11.45860622,7984385,100849920
